CommonName,BotanicalName,Family,Origin,PotentialUse,Description,Phenology,Taxonomy,EcologicalUses,EthnobotanicalUses,Latitude,Longitude,CoverImageURL,FlowerImageURL,FruitImageURL,LeafImageURL,BarkImageURL,SourceNote
White Mulberry,Morus alba,Moraceae,Native,"Food, Fodder","A fast-growing, short-lived mulberry tree whose native range covers China and India, long cultivated worldwide for its leaves, which are the primary food source for silkworms in commercial silk production.","Deciduous; small greenish flowers in catkins bloom in late spring, followed by compound berry-like fruit that ripens from green-white to pink or dark red, sweet but relatively bland.",Kingdom Plantae; Order Rosales; Family Moraceae; Genus Morus; Species M. alba.,Notable for having one of the fastest recorded movements in the plant kingdom -- its pollen is released at over half the speed of sound; fast growth makes it a common early coloniser of open and disturbed ground.,"Leaves are the essential food source for silkworm cultivation (sericulture), a major traditional industry across parts of India; fruit eaten fresh or dried; wood used in some regions for sports equipment and crafts.",30.3411,78.0362,,,,,,Verified against Wikipedia (Morus alba) (accessed 2026).
Camphor Tree,Cinnamomum camphora,Lauraceae,Exotic,"Aromatic, Essential oil, Timber, Invasive","A large evergreen tree native to China south of the Yangtze River, Taiwan, southern Japan, Korea and Vietnam (with some sources including parts of India in its native range), long cultivated worldwide as the traditional source of camphor.","Evergreen; masses of small, fragrant greenish-white flowers appear in spring, followed by clusters of small black, berry-like fruit; all parts of the tree are strongly camphor-scented when crushed.",Kingdom Plantae; Order Laurales; Family Lauraceae; Genus Cinnamomum; Species C. camphora.,"Considered an invasive species in parts of Australia and the southeastern United States due to prolific bird-dispersed fruit; in Japan, especially old specimens are treated as sacred trees.","Historically the primary source of natural camphor, extracted by steam distillation of the wood and leaves, once vital to medicine, smokeless gunpowder and celluloid production; still cultivated for timber and ornamental planting.",30.3389,78.0353,,,,,,"Verified against Wikipedia (Cinnamomum camphora) and LUMS Biodiversity database, which lists India within its native/naturalised range (accessed 2026)."
Bakul (Spanish Cherry),Mimusops elengi,Sapotaceae,Native,"Ornamental, Medicinal, Sacred / Socio-cultural","A medium to large evergreen tree native to tropical forests of South Asia, Southeast Asia and northern Australia, cherished across the Indian subcontinent for its intensely fragrant, long-lasting flowers.","Evergreen; small, cream, star-shaped and highly fragrant flowers bloom mainly April-July, opening in the evening and dropping to the ground the next morning while retaining their scent; fruits ripen June-October.",Kingdom Plantae; Order Ericales; Family Sapotaceae; Genus Mimusops; Species M. elengi.,Provides dense year-round shade and is a valuable ornamental and avenue tree across South Asian cities; fruit and flowers attract birds and pollinators.,"Fallen flowers are traditionally collected and threaded into garlands, or dried and kept for their long-lasting fragrance; bark, flowers, fruit and seeds are used in Ayurvedic medicine, especially for dental ailments; timber is valued for construction.",30.3403,78.0329,,,,,,Verified against Wikipedia/Jungledragon (Mimusops elengi) and LUMS Biodiversity database (accessed 2026).
False Ashoka (Mast Tree),Polyalthia longifolia,Annonaceae,Native,"Ornamental, Shade tree","A tall, columnar evergreen tree native to southern India and Sri Lanka, widely planted across South Asia as an avenue and noise-buffering tree, often confused with the true ashoka tree (Saraca asoca) due to superficial resemblance.","Evergreen; long, narrow, wavy-margined leaves emerge coppery-brown before maturing to dark green; small yellowish-green star-shaped flowers appear in spring, followed by clusters of fruit that turn purple-black when ripe.",Kingdom Plantae; Order Magnoliales; Family Annonaceae; Genus Polyalthia (also placed in genus Monoon as M. longifolium); Species P. longifolia.,Symmetrical pyramidal growth and dense foliage make it effective at buffering noise pollution along roads and in urban plantings; leaves are a larval food plant for some butterfly species.,"Widely used as a street and garden tree across India for its narrow, non-invasive footprint; leaves are used for ornamental festoons and decoration during Indian festivals; bark used in traditional medicine for fever and diabetes.",30.3396,78.0367,,,,,,Verified against Wikipedia and Flora of Qatar (Polyalthia longifolia) (accessed 2026).
Eastern Cottonwood (Poplar),Populus deltoides,Salicaceae,Exotic,"Timber, Paper making","A large, fast-growing deciduous tree genuinely native to North America (eastern, central and southwestern United States, southern Canada, and northeastern Mexico), introduced to India specifically for commercial poplar plantation forestry.","Deciduous; dioecious, with male and female flowers on separate trees borne in pendulous catkins that appear before the leaves; one of the fastest-growing trees in North America, capable of 3-4.5 m of height growth per year under good conditions.",Kingdom Plantae; Order Malpighiales; Family Salicaceae; Genus Populus; Section Populus sect. Aigeiros; Species P. deltoides.,"In its introduced Indian range, widely used in agroforestry systems (notably in Punjab, Haryana and the Terai/Doon region) intercropped with agricultural crops for fast wood production.","Fast-growing timber widely used in India for plywood, matchsticks, and paper pulp; poplar-based agroforestry is a significant source of farmer income in parts of North India.",30.3407,78.0324,,,,,,"Verified against Wikipedia (Populus deltoides) (accessed 2026). Note: genuinely native to North America, not India, despite widespread plantation use here."
Kassod Tree (Minjiri),Senna siamea,Fabaceae,Native,"Shade tree, Timber","A medium-sized evergreen tree native to South and Southeast Asia, including southern India and Sri Lanka, though its exact point of origin is obscured by a long history of cultivation across the region.","Evergreen; bright yellow flowers bloom in clusters, commonly used as a shade tree in cocoa, coffee and tea plantations across its range.",Kingdom Plantae; Order Fabales; Family Fabaceae; Subfamily Caesalpinioideae; Genus Senna; Species S. siamea.,"Widely planted for erosion control, windbreaks, shelterbelts and roadside shade due to its fast growth and hardiness, though as a Caesalpinioideae species it does not fix nitrogen through the typical Rhizobium symbiosis of many legumes.","Wood used for fuelwood, poles and light construction; widely planted as an avenue and shade tree across Indian cities; young flower buds and pods eaten as a vegetable or in salads in some Southeast Asian cuisines.",30.3392,78.0339,,,,,,Verified against Wikipedia (Senna siamea) and PROSEA handbook (accessed 2026).
Champa (Champak),Magnolia champaca,Magnoliaceae,Native,"Ornamental, Sacred / Socio-cultural, Aromatic","A large evergreen tree of the magnolia family, native across the Indomalayan realm including India, valued for centuries across South Asia for its intensely fragrant flowers, formerly classified as Michelia champaca.","Evergreen; strongly fragrant cream to yellow-orange flowers bloom mainly June-September; in ideal native conditions the tree can exceed 50 m, though it's typically smaller (20-30 m) in cultivation.",Kingdom Plantae; Order Magnoliales; Family Magnoliaceae; Genus Magnolia (formerly Michelia); Species M. champaca.,"Bird-attractive, aril-covered seeds are an important food source for frugivorous birds; found naturally in tropical and subtropical moist broadleaf forests at 200-1600 m elevation.",Deeply fragrant flowers are widely used in Hindu religious offerings across India and were historically a key ingredient in the famous 'Joy' perfume; valuable timber used in woodworking; flowers also used for hair ornamentation.,30.3401,78.0344,,,,,,Verified against Wikipedia (Magnolia champaca / Champac) (accessed 2026).
Pink Shower Tree,Cassia javanica,Fabaceae,Exotic,Ornamental,"A tall deciduous flowering tree genuinely native to Indonesia (Java, Sumatra) and Malaysia, widely introduced across India and the tropics as a spectacular ornamental for its pink and white blossom displays.","Deciduous; briefly sheds its leaves right before a striking flowering period, producing clusters of pink-to-crimson flowers fading to white with age, typically in spring and summer; long brown pods follow.",Kingdom Plantae; Order Fabales; Family Fabaceae; Genus Cassia; Species C. javanica.,A nitrogen-fixing legume; flowers are heavily visited by bees and other pollinators during bloom; can behave as a pioneer species on disturbed ground.,Widely planted as an ornamental street and park tree across South and Southeast Asia; wood used locally for construction in parts of its native range; closely related to and sometimes hybridised with the golden shower tree (Cassia fistula).,30.3358,78.0371,,,,,,"Verified against Wikipedia/UF-IFAS Extension and housing.com plant guide (Cassia javanica) (accessed 2026). Note: native to Indonesia/Malaysia, not India."
Bhimal,Grewia optiva,Malvaceae,Native,"Fodder, Soil water conservation","A small to medium deciduous tree native to the Indian subcontinent, especially valuable in the western Himalayan foothills of Uttarakhand, Himachal Pradesh and Jammu & Kashmir, where it grows naturally up to 1,800 m elevation.",Deciduous; flowers appear before fruiting; grown extensively in intercropping systems with crops like taro and turmeric in the western Himalaya.,Kingdom Plantae; Order Malvales; Family Malvaceae; Genus Grewia; Species G. optiva.,"One of the most heavily browsed winter fodder species for cattle in the western Himalaya, valuable precisely because it stays leafy when little else is available; commonly grown on farm field boundaries.","Bark yields a strong bast fibre used to make ropes; a training programme on bhimal fibre extraction techniques has been run by the Forest Research Institute itself in nearby Mussoorie; resilient timber used for tool handles, bows and oars; considered a 'wonder tree of the Himalaya' for its multipurpose uses.",30.3418,78.0356,,,,,,"Verified against Wikipedia (Grewia optiva), World Agroforestry Centre database, and an ICFRE/FRI Dehradun training report on bhimal fibre extraction (accessed 2026)."
Lychee (Litchi),Litchi chinensis,Sapindaceae,Exotic,Food,"An evergreen fruit tree genuinely native to the Guangdong and Fujian provinces of southern China, where cultivation has been documented since the 11th century; introduced to India in the 18th century via Burma.","Evergreen; newly emerging leaves are a bright coppery red before turning green; small greenish-white flowers form in panicles, followed by the familiar rough pink-red, sweet-fleshed fruit.",Kingdom Plantae; Order Sapindales; Family Sapindaceae; Genus Litchi; Species L. chinensis.,"Introduced fruit tree now cultivated across parts of eastern India (notably Bihar), which has become a major lychee-producing region outside China.","Fruit widely eaten fresh and highly prized commercially; leaves, bark and flowers used in some traditional medicine; caution is warranted as consumption of lychee seeds/unripe fruit by malnourished children has been linked to cases of hypoglycemic encephalopathy in parts of India.",30.3403,78.0331,,,,,,"Verified against Wikipedia (Lychee) and a Subharti University plant profile noting its 18th-century introduction to India (accessed 2026). Note: native to China, not India."
Toon (Indian Mahogany),Toona ciliata,Meliaceae,Native,Timber,"A large forest tree in the mahogany family, native across a broad range from Afghanistan through the Himalayas to Papua New Guinea and Australia, valued as an important timber species across its Indian range.",Extended compound leaves up to 90 cm long with 10-14 pairs of leaflets; fragrant flowers yield a dye; timing of flowering and leaf flush varies across its wide range.,Kingdom Plantae; Order Sapindales; Family Meliaceae; Subfamily Cedreloideae; Genus Toona; Species T. ciliata.,"A component of semi-evergreen and evergreen forests across its Himalayan and Southeast Asian range, cultivated in plains and foothills up to 1000 m in India.","Valuable reddish hardwood used for furniture, panelling, shipbuilding and musical instruments including the sitar and rudra veena; increasingly used as a substitute for restricted American mahogany in guitar manufacturing; bark used in traditional medicine.",30.3411,78.0339,,,,,,Verified against Wikipedia (Toona ciliata / Toona genus) (accessed 2026).
Reetha (Soapnut Tree),Sapindus mukorossi,Sapindaceae,Native,Medicinal,"A deciduous tree native to the lower foothills and midhills of the Himalayas up to 1,200 m elevation, including the Uttarakhand region, as well as parts of western coastal India, long valued for its natural cleansing fruit.","Deciduous, shedding leaves especially in cooler winter regions; produces small greenish flowers followed by fruit containing natural saponins; a single mature tree can yield 30-35 kg of fruit annually.",Kingdom Plantae; Order Sapindales; Family Sapindaceae; Genus Sapindus; Species S. mukorossi.,Tolerant of reasonably poor soils and often grown around farmers' homes in the Himalayan foothills; deep root system aids drought tolerance.,"Fruit (soapnuts) contain saponins used traditionally as a natural, biodegradable cleanser for hair, skin and clothing, and as a natural insecticide; still used today in herbal shampoos and as an eco-friendly laundry alternative.",30.3423,78.0331,,,,,,Verified against Wikipedia (Sapindus mukorossi) (accessed 2026).
Peach,Prunus persica,Rosaceae,Exotic,Food,"A deciduous fruit tree genuinely native to Northwest China, first domesticated there roughly 4,000 years ago, later spreading via Persia to the rest of the world including India.","Deciduous; showy pink 5-petaled flowers appear in early spring before the leaves, followed by the familiar fuzzy-skinned, single-seeded stone fruit ripening in summer.",Kingdom Plantae; Order Rosales; Family Rosaceae; Subgenus Prunus subg. Amygdalus; Species P. persica.,Closely related to the almond; commercially grown peach orchards exist in the cooler hill regions of North India such as Himachal Pradesh and parts of Uttarakhand.,Fruit eaten fresh and used in preserves; peach kernels resemble almonds in flavour and are sometimes used to make a marzipan substitute called persipan; ornamental spring blossom valued in gardens.,30.3387,78.0364,,,,,,"Verified against Wikipedia (Peach) (accessed 2026). Note: native to China, not India, despite the species name persica referring to Persia, an intermediate stop on its spread westward."
Wild Himalayan Cherry,Prunus cerasoides,Rosaceae,Native,"Ornamental, Medicinal","A deciduous cherry tree with its centre of diversity in the Eastern Himalayas, extending west into the Western Himalayas including Uttarakhand, where it is widely revered and grows in temperate forest between 1,200-2,400 m elevation.","Deciduous; flowers in autumn and winter (October-November in parts of its range), producing pinkish-white hermaphroditic blossoms, followed by small yellow fruit that turns red as it ripens.",Kingdom Plantae; Order Rosales; Family Rosaceae; Subgenus Prunus subg. Cerasus; Species P. cerasoides.,Grows in Himalayan temperate mixed forests on slopes and valleys with well-drained soils; an important early-season nectar source given its unusual autumn-winter flowering time.,Bark and seed used in traditional Ayurvedic medicine (known as Padmaka); fruit used to produce a well-known cherry brandy despite being scanty and rarely eaten fresh; wood used for walking sticks; considered a sacred tree in parts of the Himalayan region.,30.3429,78.0348,,,,,,Verified against Wikipedia (Prunus cerasoides) and PROSEA handbook (accessed 2026).
Pomelo,Citrus maxima,Rutaceae,Exotic,Food,"The largest citrus fruit species, a natural non-hybrid citrus genuinely native to Southeast Asia, cultivated in southern India and elsewhere as an ancestor species behind many modern citrus hybrids.","Fragrant yellowish-white flowers, borne singly or in clusters, are followed by very large fruit (15-25 cm diameter, 1-2 kg) with a thick rind and sweet, mildly tart pulp.",Kingdom Plantae; Order Sapindales; Family Rutaceae; Genus Citrus; Species C. maxima.,"One of the principal wild ancestor species behind cultivated citrus hybrids including the grapefruit (pomelo x sweet orange) and bitter orange (pomelo x mandarin), making it botanically significant well beyond its own cultivation.","Fruit eaten fresh, used in salads and desserts, or candied; in parts of Southeast and East Asia associated with festive occasions; rind sometimes made into marmalade.",30.3395,78.0326,,,,,,"Verified against Wikipedia (Pomelo) (accessed 2026). Note: native to Southeast Asia, not India."
Indian Elm (Kanju),Holoptelea integrifolia,Ulmaceae,Native,"Timber, Medicinal","A large deciduous tree native to most of the Indian subcontinent, Indo-China and Myanmar, closely related to true elms, found both on plains and in mountains up to 1,100 m elevation.","Deciduous; small greenish-yellow to brownish flowers appear at the scars of fallen leaves (often around January-February in parts of India), followed by circular winged samara fruit.",Kingdom Plantae; Order Rosales; Family Ulmaceae; Genus Holoptelea; Species H. integrifolia.,"Valued in ecological forestry for its heat and drought tolerance and strong regenerative ability, making it useful for restoring degraded land.","Used for cheap furniture-grade timber and as rural firewood; flowers, leaves and bark used across various Indian traditional medicine systems for conditions including inflammation, rheumatism and skin ailments.",30.3366,78.0356,,,,,,Verified against Wikipedia (Holoptelea integrifolia) and LUMS Biodiversity database (accessed 2026).
Hairy Sterculia (Elephant Rope Tree),Sterculia villosa,Malvaceae,Native,Paper making,"A medium to large deciduous tree native to the Indian subcontinent (particularly Northeast India) as well as parts of southern China and Indo-China, known locally as sardol or udal.","Deciduous, flowering while leafless; rusty, velvety pendulous flower panicles appear December-March in most of its range, followed by leathery red seed pods.",Kingdom Plantae; Order Malvales; Family Malvaceae; Genus Sterculia; Species S. villosa.,"Fast-spreading and adaptable, sometimes cultivated outside its native range for this trait; found in moist deciduous forest habitats.","Bark yields a strong, coarse fibre historically used to make ropes and bags, prized for being little damaged by water; pulp used for tea boxes and lightweight packing cases in Northeast India and Bangladesh; powdered root mixed with rice flour in some traditional food preparations.",30.3378,78.0367,,,,,,Verified against Wikipedia (Sterculia villosa) and Kew Plants of the World Online (accessed 2026).
Gular (Cluster Fig),Ficus racemosa,Moraceae,Native,"Sacred / Socio-cultural, Wild Edible, Food","A fast-growing evergreen to semi-deciduous fig tree native to tropical Asia and Australia, distinctive for its cauliflorous fruiting habit where figs grow in dense clusters directly from the trunk and larger branches.","Fruits (syconia) grow year-round in clusters on the trunk and branches rather than among the leaves; large, coarse-textured leaves are shed and replaced through the year depending on local conditions.",Kingdom Plantae; Order Rosales; Family Moraceae; Genus Ficus; Subgenus F. subg. Sycomorus; Species F. racemosa.,"Ripe figs are a favourite food of the rhesus macaque and other wildlife; the tree is of cultural importance in Hinduism and Buddhism, where it is known as udumbara.","Fruits are eaten as a cooked vegetable (after removing seeds) in stir-fries and curries across parts of India; bark is used in traditional home remedies, rubbed into a paste for boils and insect bites.",30.3384,78.0369,,,,,,Verified against Wikipedia (Ficus racemosa) (accessed 2026).
Gamhar (White Teak),Gmelina arborea,Lamiaceae,Native,"Timber, Medicinal","A fast-growing deciduous tree native throughout much of India, including the sub-Himalayan tracts, as well as Myanmar, Thailand and southern China, valued as a versatile timber species.","Deciduous; brownish-yellow flowers appear in terminal panicles February to April; drupe fruits follow, ripening to a shiny yellow when dry.",Kingdom Plantae; Order Lamiales; Family Lamiaceae; Genus Gmelina; Species G. arborea.,Occurs extensively from the sub-Himalayan tracts eastward through Assam and adjoining regions; commonly grown in gardens and avenues as well as natural mixed forests.,"Timber is strong for its weight, used in construction, furniture, musical instruments and artificial limbs; root and bark used traditionally as a stomachic, laxative and appetite stimulant; leaf paste applied for headache relief.",30.3358,78.0347,,,,,,Verified against Wikipedia (Gmelina arborea) and Vikaspedia medicinal plants database (accessed 2026).
Parijat (Night Jasmine),Nyctanthes arbor-tristis,Oleaceae,Native,"Ornamental, Sacred / Socio-cultural, Medicinal","A large shrub or small tree native to the subtropical Himalayas of Nepal and India, and the official state flower of West Bengal, prized for its intensely fragrant night-blooming flowers.","Fragrant white flowers with an orange-red centre open at dusk and fall by dawn, carpeting the ground with petals each morning; blooms in clusters of two to seven through the flowering season.",Kingdom Plantae; Order Lamiales; Family Oleaceae; Genus Nyctanthes; Species N. arbor-tristis.,Grows in dry deciduous forests and hillsides across its native range; the flowering pattern has traditionally been used by native communities in Tripura to help predict seasonal rainfall.,"Flowers used to make garlands and for worship in Hindu ritual; leaves used in Ayurvedic medicine and homeopathy for sciatica, arthritis and fever; an orange dye (nyctanthin) extracted from the corolla is used to dye silk.",30.3369,78.0362,,,,,,Verified against Wikipedia (Nyctanthes arbor-tristis) and PROSEA handbook (accessed 2026).
Broken Bones Tree (Indian Trumpet Tree),Oroxylum indicum,Bignoniaceae,Native,"Medicinal, Food","A distinctive semi-deciduous tree native to the Indian subcontinent and Himalayan foothills extending to southern China and Southeast Asia, named for its huge sword-like seed pods and the way its shed leaf stalks pile up like broken limb bones at the trunk base.","Night-blooming, bat-pollinated flowers appear on bare branches; enormous flat seed pods up to 1.5 m long hang down resembling swords, giving rise to the name 'tree of Damocles'.",Kingdom Plantae; Order Lamiales; Family Bignoniaceae; Tribe Oroxyleae; Genus Oroxylum (monotypic); Species O. indicum.,"Night-blooming flowers adapted for pollination by bats; found in the forest biome of Manas National Park, Assam, among other protected Indian habitats.","Used for centuries in Asian traditional medicine (known as Shyonaka in Ayurveda) for ailments including jaundice, arthritis, gastric ulcers and respiratory disease; young pods are eaten as a delicacy in parts of India and southern China.",30.3376,78.0331,,,,,,Verified against Wikipedia (Oroxylum indicum) and Uttarakhand Forest Department plant database (accessed 2026).
Bahera,Terminalia bellirica,Combretaceae,Native,"Medicinal, Fodder","A large deciduous tree common on plains and lower hills across South and Southeast Asia, one of the three fruits making up the classic Ayurvedic formulation triphala.","Small, pale green, unpleasant-smelling flowers appear April-June; ovoid fruit with hard stones and a sweet oily kernel follows, maturing November-February.",Kingdom Plantae; Order Myrtales; Family Combretaceae; Genus Terminalia; Species T. bellirica.,Found in deciduous forests throughout India except the most arid regions; considered good fodder for cattle; a significant non-timber forest product in Madhya Pradesh's Malwa region.,"Fruit (bibhitaki) is a core ingredient of triphala, a widely used Ayurvedic herbal formulation; seed oil meets biodiesel specification standards in several countries; some Hindu communities in Northern India traditionally avoid sitting in its shade due to folklore associating it with spirits.",30.3391,78.0374,,,,,,Verified against Wikipedia (Terminalia bellirica) and a Himalayan Voices botanical fact sheet noting its presence in the Siwaliks near this region (accessed 2026).
Harad (Chebulic Myrobalan),Terminalia chebula,Combretaceae,Native,Medicinal,"A medium to large deciduous tree native to South Asia from Pakistan, India and Nepal east to southwest China, one of the most important trees in traditional Ayurvedic medicine.","Deciduous during the cold season; strongly scented dull white to yellow flowers appear in terminal spikes April-June, followed by five-ridged blackish drupe fruit maturing by winter.",Kingdom Plantae; Order Myrtales; Family Combretaceae; Genus Terminalia; Species T. chebula.,"Found in the outer Himalayas up to about 1,600 m elevation from Kangra (near this region) eastward to Bengal, and throughout central and southern India.","Fruit (haritaki) is one of the three myrobalans in triphala and is separately used as an astringent digestive aid, mild laxative and gum tonic in Ayurveda; powdered fruit rind used traditionally for loose gums and bleeding gums.",30.3403,78.0356,,,,,,Verified against Wikipedia (Terminalia chebula) and a Himalayan Voices fact sheet noting distribution in the outer Himalayas from Kangra to Bengal (accessed 2026).
Mahua (Butter Tree),Madhuca longifolia,Sapotaceae,Native,"Food, Wild Edible, Sacred / Socio-cultural","A fast-growing tropical tree native to the Indian subcontinent, found across the plains and forests of central, southern and northern India as well as Nepal, Myanmar and Sri Lanka, deeply woven into tribal cultural life across central India.","Fast-growing with evergreen to semi-evergreen foliage; fragrant white flowers borne in clusters, followed by a fleshy greenish-yellow fruit containing oil-rich seeds.",Kingdom Plantae; Order Ericales; Family Sapotaceae; Genus Madhuca; Species M. longifolia.,"Tolerant of dry, arid environments and a prominent component of tropical mixed deciduous forests across much of India.","Flowers are fermented into a traditional alcoholic drink and used in various food preparations by tribal communities, for whom the tree carries deep cultural and ritual significance across birth, marriage and death; seed oil used for skin care and soap-making; bark used in traditional remedies for diabetes.",30.3368,78.0338,,,,,,Verified against Wikipedia (Madhuca longifolia) and a Subharti University plant profile (accessed 2026).
Nagkesar (Indian Rose Chestnut),Mesua ferrea,Calophyllaceae,Native,"Medicinal, Ornamental, Sacred / Socio-cultural","A medium to fairly large evergreen tree native to Sri Lanka, India, southern Nepal, Myanmar, Indochina, the Philippines, Malaysia and Sumatra, cultivated widely across Asia as an ornamental for its graceful form and fragrant flowers.",Evergreen; young leaves emerge in a striking flush of pink to red before maturing to dark green; large fragrant white flowers with numerous yellow stamens bloom against the foliage.,Kingdom Plantae; Order Malpighiales; Family Calophyllaceae; Genus Mesua; Species M. ferrea.,"Grows in evergreen forests, especially river valleys, at up to 1,500 m elevation in the Himalayas and India; national tree of Sri Lanka.",Stamens yield the traditional Ayurvedic drug nagakesara; seed oil used for skin ailments and rheumatism; dried flowers used for bleeding hemorrhoids and dysentery in Ayurvedic and Unani medicine; regarded as a sacred tree in parts of India.,30.34,78.0367,,,,,,Verified against Wikipedia (Mesua ferrea) and Uttarakhand Forest Department plant database (accessed 2026).
Frangipani (Temple Tree),Plumeria rubra,Apocynaceae,Exotic,"Ornamental, Sacred / Socio-cultural","A deciduous flowering tree genuinely native to Mexico, Central America, Colombia and Venezuela, now one of the most widely planted ornamental trees across tropical and subtropical India, especially near temples and gardens.","Deciduous; fragrant flowers in shades of pink, white and yellow bloom over summer and autumn, appearing on bare or leafy branches; long paired seed pods (follicles) follow.",Kingdom Plantae; Order Gentianales; Family Apocynaceae; Subtribe Plumeriinae; Genus Plumeria; Species P. rubra.,"Long cultivated far outside its native range as an ornamental; a good host plant for Dendrobium orchids, which are sometimes grown epiphytically on its branches.","Widely planted near Hindu and Buddhist temples across India ('temple tree') despite not being native; flowers used in garlands; in eastern India, plumeria is traditionally considered a variety of the sacred champak flower.",30.3382,78.032,,,,,,"Verified against Wikipedia (Plumeria / Plumeria rubra) (accessed 2026). Note: genuinely native to Mexico/Central America, not India, despite being ubiquitous at Indian temples."
Banj Oak,Quercus leucotrichophora,Fagaceae,Native,"Fodder, Timber, Soil water conservation","An evergreen oak endemic to the mid-elevation forests of the central and western Himalayas, forming extensive oak forests between roughly 1,000-2,200 m and considered one of the most ecologically important trees of the region.","Evergreen; leaf shedding, shoot initiation and flowering all occur April-June; acorns mature October-January and disperse December-May.",Kingdom Plantae; Order Fagales; Family Fagaceae; Subgenus Quercus subg. Cerris; Section Quercus sect. Ilex; Species Q. leucotrichophora.,"A keystone species of the mid-Himalayan forest belt, its deep root system helps stabilise slopes and its nitrogen-rich leaf litter builds soil fertility; often grows alongside deodar cedar and chir pine.",Extensively lopped for fuelwood (high calorific value) and cattle fodder by hill communities; leaf litter used as compost; the species has been directly studied by FRI's own Forest Protection Division for pest management in the Garhwal Himalaya.,30.3413,78.0345,,,,,,Verified against Wikipedia (Quercus leucotrichophora) and a Journal of Threatened Taxa paper co-authored by FRI (ICFRE) Dehradun researchers (accessed 2026).
Kusum Tree,Schleichera oleosa,Sapindaceae,Native,"Essential oil, Timber","A large, nearly evergreen tree native to the Indian subcontinent and Southeast Asia, historically important across Madhya Pradesh and the Deccan Plateau, notable for its bright red flush of new leaves.","Nearly evergreen; new leaves emerge bright red, most conspicuously around March in India; small yellow flowers form in dense clusters, largely inconspicuous.",Kingdom Plantae; Order Sapindales; Family Sapindaceae; Genus Schleichera (monotypic); Species S. oleosa.,"Frost- and drought-hardy; historically one of the main tree species of undisturbed forests in Madhya Pradesh and the Deccan Plateau; host tree for kusumi lac, a lac-producing insect native to India.","Seeds are the source of kusum (macassar) oil, used in cosmetics and traditional medicine; the tree's role as a lac-insect host made it economically significant for the historic shellac trade; hard reddish-brown wood used for tools and construction.",30.3357,78.0353,,,,,,Verified against Wikipedia (Schleichera / Kusum oil) (accessed 2026).
Paradise Tree (Lakshmi Taru),Simarouba glauca,Simaroubaceae,Exotic,"Food, Soil water conservation","A flowering tree genuinely native to Florida, South America and the Caribbean, introduced to India in the 20th century and popularly known there as Lakshmi Taru, promoted for wasteland reclamation and biodiesel potential.","Evergreen; inconspicuous blooms appear in spring, followed by purple, olive-like fruit ripening by summer.",Kingdom Plantae; Order Sapindales; Family Simaroubaceae; Genus Simarouba; Species S. glauca.,"Promoted in India for large-scale wasteland reclamation plantings due to its hardiness and drought tolerance, with claimed benefits for carbon sequestration.","Seeds produce an edible oil used in India for cooking and industrial purposes; bark, leaves and roots used in traditional medicine across its native range for fevers, dysentery and skin conditions; wood is insect-resistant and used for furniture and matches.",30.3345,78.0362,,,,,,"Verified against Wikipedia (Simarouba glauca) (accessed 2026). Note: genuinely native to Florida/Caribbean, not India, despite the popular Sanskrit name Lakshmi Taru given after introduction."
Strychnine Tree (Kuchla),Strychnos nux-vomica,Loganiaceae,Native,Medicinal,"A deciduous tree native to India and Southeast Asia, notable as the natural botanical source of the highly toxic alkaloid strychnine, historically significant in traditional and Western pharmacology alike.","Deciduous; small, pale green, foul-smelling funnel-shaped flowers bloom in the cold season, followed by round orange fruit containing the toxic seeds.",Kingdom Plantae; Order Gentianales; Family Loganiaceae; Genus Strychnos; Species S. nux-vomica.,"Grows in open habitats across its native range; a medium-sized tree with a short, thick trunk and irregular, ash-barked branches.","Seeds (kuchla) are used in minute, carefully controlled doses in traditional Ayurvedic and Unani medicine as a nervine and digestive tonic, but are extremely poisonous in excess; historically the primary source of strychnine, once used medically and later as a rodenticide. Given its toxicity, this tree is documented here for educational and taxonomic purposes only.",30.3372,78.0349,,,,,,Verified against Wikipedia (Strychnos nux-vomica) (accessed 2026).
West Indian Mahogany,Swietenia mahagoni,Meliaceae,Exotic,Timber,"A large evergreen to semi-deciduous tree genuinely native to the Caribbean islands and southern Florida, the original source of true mahogany timber, now cultivated as a plantation tree in parts of India including Kerala.","Briefly deciduous; small, fragrant, inconspicuous flowers appear in spring, followed by woody capsules containing winged seeds that mature by late summer/fall.",Kingdom Plantae; Order Sapindales; Family Meliaceae; Genus Swietenia; Species S. mahagoni.,"Grows in dry forests, coastal areas and pine rocklands in its native range; listed as Near Threatened due to historic overharvesting for the timber trade.","Prized dense, reddish-brown wood polishes to a high sheen and is used for fine furniture, cabinetry and musical instruments; grown as a plantation timber species and sold in timber markets in Kerala, India, despite not being native to the country.",30.339,78.0332,,,,,,"Verified against Wikipedia (Swietenia mahagoni) (accessed 2026). Note: genuinely native to the Caribbean/Florida, not India."
